customer_id,customer_name,city,signup_date
1,Grace,Phoenix,2023-11-05
2,Diana,Phoenix,2022-04-30
3,Eva,New York,2021-01-28
4,Grace,Chicago,2022-12-15
5,Charlie,Los Angeles,2023-11-29
6,Hannah,New York,2021-03-27
7,Eva,Los Angeles,2021-05-06
8,Eva,Los Angeles,2023-03-23
9,Grace,Chicago,2022-06-21
10,Bob,Los Angeles,2021-05-25
11,Charlie,Los Angeles,2021-01-25
12,Grace,Chicago,2021-03-08
13,Charlie,Los Angeles,2021-08-21
14,Charlie,Los Angeles,2021-04-19
15,Hannah,Los Angeles,2021-04-21
16,Eva,New York,2021-08-16
17,Diana,New York,2021-04-21
18,Hannah,New York,2021-02-03
19,Hannah,Chicago,2022-09-15
20,Charlie,Phoenix,2023-01-18
21,Frank,Los Angeles,2022-08-18
22,Eva,Los Angeles,2022-03-01
23,Bob,Chicago,2022-09-05
24,Hannah,Los Angeles,2022-11-23
25,Diana,New York,2021-11-11
26,Frank,Phoenix,2023-05-27
27,Frank,Houston,2022-10-24
28,Bob,Los Angeles,2021-10-04
29,Hannah,New York,2022-09-16
30,Diana,Houston,2022-05-31
31,Eva,Phoenix,2023-04-23
32,Alice,Houston,2021-12-16
33,Diana,New York,2023-04-03
34,Bob,Houston,2023-01-29
35,Frank,Chicago,2023-06-18
36,Eva,Houston,2021-08-31
37,Diana,Los Angeles,2022-06-27
38,Alice,Los Angeles,2023-11-30
39,Alice,Chicago,2021-08-17
40,Charlie,New York,2022-07-02
41,Charlie,Los Angeles,2023-07-09
42,Grace,Phoenix,2021-01-06
43,Bob,Los Angeles,2022-04-13
44,Hannah,Los Angeles,2021-03-16
45,Diana,New York,2021-01-04
46,Diana,Houston,2022-10-08
47,Hannah,Los Angeles,2021-04-28
48,Grace,Chicago,2023-05-31
49,Frank,Houston,2022-05-19
50,Frank,Phoenix,2023-08-05
51,Grace,New York,2022-07-28
52,Frank,Phoenix,2021-07-13
53,Charlie,Houston,2023-04-27
54,Diana,Houston,2022-12-16
55,Grace,Houston,2023-11-16
56,Diana,Phoenix,2021-06-22
57,Hannah,Houston,2021-11-22
58,Alice,Phoenix,2023-04-16
59,Charlie,Houston,2022-12-25
60,Eva,Chicago,2021-08-13
61,Charlie,Houston,2022-06-16
62,Grace,Phoenix,2021-04-23
63,Eva,Los Angeles,2021-05-20
64,Alice,Houston,2022-07-13
65,Grace,Los Angeles,2021-01-01
66,Bob,Chicago,2021-03-31
67,Diana,New York,2022-10-16
68,Alice,Chicago,2021-11-16
69,Diana,Houston,2021-05-19
70,Frank,Los Angeles,2023-04-25
71,Bob,Los Angeles,2021-09-16
72,Bob,Phoenix,2023-06-21
73,Alice,Los Angeles,2022-11-21
74,Bob,Phoenix,2021-01-10
75,Eva,New York,2021-09-18
76,Bob,Houston,2021-06-21
77,Diana,Phoenix,2023-06-17
78,Diana,New York,2021-01-13
79,Grace,Los Angeles,2021-11-17
80,Diana,Los Angeles,2021-11-25
81,Grace,New York,2023-02-24
82,Diana,Los Angeles,2023-02-16
83,Eva,New York,2023-06-30
84,Hannah,Phoenix,2021-11-14
85,Grace,Phoenix,2021-08-24
86,Charlie,New York,2021-11-30
87,Frank,Phoenix,2022-01-11
88,Alice,Phoenix,2022-08-11
89,Diana,Phoenix,2022-05-28
90,Bob,Chicago,2023-07-07
91,Hannah,Houston,2023-05-23
92,Diana,Los Angeles,2021-09-27
93,Bob,Chicago,2023-03-09
94,Frank,Phoenix,2022-12-26
95,Frank,New York,2021-01-05
96,Frank,Phoenix,2023-05-01
97,Bob,Houston,2021-03-19
98,Diana,Phoenix,2022-07-28
99,Frank,New York,2021-05-12
100,Eva,Houston,2022-08-24
101,Grace,Phoenix,2023-12-02
102,Bob,Houston,2021-03-30
103,Bob,Los Angeles,2022-02-06
104,Diana,Los Angeles,2021-10-23
105,Bob,Phoenix,2022-09-08
106,Bob,Houston,2023-03-11
107,Frank,New York,2022-02-26
108,Diana,Phoenix,2023-11-13
109,Frank,Los Angeles,2022-07-29
110,Grace,Los Angeles,2021-05-23
111,Hannah,Phoenix,2023-09-20
112,Grace,Houston,2022-10-27
113,Hannah,Los Angeles,2021-05-25
114,Frank,Houston,2023-10-04
115,Grace,Los Angeles,2022-05-18
116,Diana,Los Angeles,2023-04-01
117,Alice,Chicago,2021-04-14
118,Frank,Los Angeles,2023-11-29
119,Hannah,New York,2021-07-17
120,Eva,Phoenix,2022-08-02
121,Hannah,Phoenix,2022-01-26
122,Eva,Houston,2022-07-08
